video_id,comment
Xuww1XIfb4c,Well done 👏
xVq5uVQXZPk,Great
J8lBnx5nqHQ,Wakapenga fannamie
J8lBnx5nqHQ,given a=b it means (a-b) is zero and we cant divide by zero
J8lBnx5nqHQ,Interesting
f08QKffgIyg,That was really helpful
4qrZAj02GsQ,Good evening. Kindly advise which level these tutorials represent? Advanced Level or Tertiary/University level?
qaoIRJqqHGA,Helpful channel
qaoIRJqqHGA,Nice work
qaoIRJqqHGA,Wonderful explanation
qaoIRJqqHGA,Well understood
qaoIRJqqHGA,Awesome
qaoIRJqqHGA,Awesome
qaoIRJqqHGA,Good explanation sir
mMijGpqLrpc,Amazing sir...This is good
tF9Dic3ySys,great video
tF9Dic3ySys,I'm Here
tF9Dic3ySys,Mathematics used to be my best subject ever in high school and am happy I scored an A plain 😊🔥🔥💕💕new subscriber here from Kenya 🇰🇪🇰🇪🇰🇪🥰
g9C7AbozQ08,Laudable
RsqNQa7lf0A,remove the background music plz
RsqNQa7lf0A,Very useful thank you sir.
fLvdNLsyai0,great stuff here🔥🔥
fLvdNLsyai0,Goodwork there 👏🏾👏🏾…just a need for a quieter background
fLvdNLsyai0,Wonderful
fLvdNLsyai0,What a good piece🔥🔥🔥
fLvdNLsyai0,Great explanations!
GZOpZzB5Oh8,"i looked this up on chegg, chat gpt, and so many other places, but it only made sense because i watched this video. thank you so much!"
GZOpZzB5Oh8,"I want ask you about something, when i assume that 7^2k-48k-1 = 2304k is correct, can i use this in the (k+1) step ?"
GZOpZzB5Oh8,"you saved my ass man, almost died during my math class"
GZOpZzB5Oh8,Great work
GZOpZzB5Oh8,Nice video
23qsQD8OyP0,This is too much.  I wasn't expecting it but Thumbs up🔥
23qsQD8OyP0,The Love of Mathematics
jO8O61rj7sk,well explained
_HErdMdnLfg,That great
_HErdMdnLfg,I like this. clear explanation. even Subscribed😎.
_HErdMdnLfg,Great work
sYMJOnkGh3s,very nice
sYMJOnkGh3s,Waaaw
sYMJOnkGh3s,Great
sYMJOnkGh3s,Good 👍
sYMJOnkGh3s,"r8bl2
vyn.fyi"
nmzAGiAQv48,it worked
mW0voGLg2wY,Great. So easy to understand.
mW0voGLg2wY,👏🏼👏🏼👏🏼
mW0voGLg2wY,Great tutoring. Thank you for this tutorial.
WlCb4NNjwiw,great lectures
WlCb4NNjwiw,great video keep it up
WlCb4NNjwiw,informative
WlCb4NNjwiw,So good
WlCb4NNjwiw,Good work
WlCb4NNjwiw,Good explanation
4USdoePgXLU,❤️ ρяσмσѕм
7lpu4vpcpjo,can you do A level Pure Math Revision paper 2
Jps2ZvCm2xU,"this is excellent, thank you"
Jps2ZvCm2xU,Thank ú so much for the explanation ....This was really clear and helpful... I really appreciate this
Jps2ZvCm2xU,"hello sir kindly can you help on the question following
what can we plant in the garden which maximizes profits"
Jps2ZvCm2xU,thanks so much man this is sounding great you know
Jps2ZvCm2xU,Helpful🤌
Jps2ZvCm2xU,"This was so helpful, man! clear explanation"
Jps2ZvCm2xU,Legit
Jps2ZvCm2xU,"eish , you jus motivated me yooo!!!!!!!
go go go!!!!"
Jps2ZvCm2xU,...thank you so much
6xOGNrCGFOc,Interesting stuff. I hope you'll make more videos in the future explaining the benefits of the integration of Python with Excel.
6xOGNrCGFOc,Really sounds like a game changer. Can't wait to try it.
_pI3qktfPDc,Nice work sir🤝
_pI3qktfPDc,Good explanation sir
QT51zqRouQU,Very clear 👌
yOPdUw1PJzQ,"Very  good and informative session, thanks man"
15Pr9qdw7f4,Hallo  I need Indepth training in quali and Quant data analysis. Do you offer lessons in Harare
15Pr9qdw7f4,👏🏻👏🏻👏🏻👏🏻
15Pr9qdw7f4,This is good sir💥
15Pr9qdw7f4,Doing great stuff here. Thumps up broe
EVuqW8De_ls,It is really helpful
sZ6UkihyDqo,"Not me crying because this video popped up just now yet it would have made a great difference to my first semester Statistics mark. Thank u, this is recommendable stuff 🤗"
JW4DIWcFCvw,Great staff
