country,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained
ZW,10350,266671,1545,87.81,440
ET,28783,87512,182,17.52,23
KE,11786,69990,356,21.5,12
IN,38649,67436,104,13.15,0
GH,10776,60967,339,21.74,0
NG,8569,45669,319,20.91,0
US,14413,35563,148,17.58,0
UG,3531,24802,421,23.95,0
BD,8164,23866,175,12.85,0
NP,6109,18052,177,15.049999999999999,0
MW,2549,13345,314,22.47,0
SO,3172,11943,225,15.36,0
TZ,1989,10993,331,20.56,0
GB,1427,10296,432,30.09,0
PK,3444,7667,133,13.11,0
ZM,1430,6295,264,23.75,0
PH,2533,6084,144,16.4,0
RW,744,4484,361,20.71,0
AF,1101,3256,177,12.960000000000003,0
ZA,708,1957,165,21.87,0
SL,219,1262,345,25.230000000000004,0
CA,631,1094,104,16.82,0
DE,144,608,253,15.560000000000002,0
LK,119,557,281,21.13,0
KH,144,508,211,16.92,0
MY,231,389,101,22.35,0
ID,155,271,105,14.99,0
SG,59,234,238,39.77,0
NA,37,172,280,65.78,0
LR,42,172,246,18.44,0
NL,38,169,267,14.42,0
IE,35,167,287,74.38,0
MM,44,139,190,12.24,0
AU,40,134,201,16.92,0
MZ,21,109,313,21.3,0
IQ,45,108,144,20.41,0
TN,91,99,65,24.44,0
BR,15,84,337,83.65,0
LS,11,83,453,33.91,0
CM,31,80,156,17.59,0
IT,10,73,440,15.950000000000001,0
SS,10,65,393,21.37,0
SD,10,57,343,25.650000000000002,0
MX,10,48,288,44.91,0
TL,11,44,241,21.54,0
KZ,37,40,66,37.34,0
EG,11,31,172,23.6,0
SA,23,30,78,35.93,0
GM,12,23,118,8.84,0
LB,11,19,107,61.5,0
FI,10,18,110,42.33,0
AZ,11,12,70,40.49,0
MA,11,12,67,21.13,0
DZ,11,12,67,36.9,0
RU,14,9,40,23.04,0
AE,11,8,44,16.92,0
TR,11,6,36,9.58,0
