day,subscribersGained,subscribersLost,views
2025-01-23,3,0,210
2025-01-22,3,1,250
2025-01-21,4,0,275
2025-01-20,4,0,260
2025-01-19,1,0,199
2025-01-18,1,0,172
2025-01-17,1,0,181
2025-01-16,3,1,251
2025-01-15,2,0,262
2025-01-14,4,0,242
2025-01-13,3,0,214
2025-01-12,1,0,181
2025-01-11,4,0,163
2025-01-10,0,0,215
2025-01-09,3,0,194
2025-01-08,0,0,250
2025-01-07,3,0,200
2025-01-06,4,0,208
2025-01-05,5,0,164
2025-01-04,3,0,147
2025-01-03,0,1,188
2025-01-02,1,1,194
2025-01-01,6,0,183
2024-12-31,2,0,104
2024-12-30,3,0,174
2024-12-29,5,2,141
2024-12-28,1,0,124
2024-12-27,5,1,155
2024-12-26,2,0,137
2024-12-25,1,0,151
2024-12-24,1,0,124
2024-12-23,2,0,139
2024-12-22,1,0,160
2024-12-21,2,0,145
2024-12-20,0,0,134
2024-12-19,5,1,214
2024-12-18,2,1,256
2024-12-17,1,0,259
2024-12-16,0,0,222
2024-12-15,1,0,213
2024-12-14,4,0,198
2024-12-13,1,0,184
2024-12-12,2,0,173
2024-12-11,2,0,245
2024-12-10,4,0,279
2024-12-09,2,1,272
2024-12-08,0,0,222
2024-12-07,2,0,178
2024-12-06,2,0,230
2024-12-05,4,1,264
2024-12-04,2,0,270
2024-12-03,2,0,270
2024-12-02,5,2,258
2024-12-01,3,0,208
2024-11-30,6,1,213
2024-11-29,2,1,174
2024-11-28,1,1,197
2024-11-27,0,0,242
2024-11-26,0,1,241
2024-11-25,4,0,262
2024-11-24,3,0,233
2024-11-23,2,0,193
2024-11-22,0,1,176
2024-11-21,2,0,242
2024-11-20,3,0,311
2024-11-19,5,1,278
2024-11-18,1,0,302
2024-11-17,1,0,235
2024-11-16,0,0,220
2024-11-15,2,0,228
2024-11-14,2,0,280
2024-11-13,5,0,290
2024-11-12,4,0,287
2024-11-11,3,1,312
2024-11-10,4,1,265
2024-11-09,3,0,232
2024-11-08,2,0,243
2024-11-07,3,0,281
2024-11-06,3,0,264
2024-11-05,1,0,255
2024-11-04,1,0,250
2024-11-03,1,0,265
2024-11-02,3,0,214
2024-11-01,2,0,188
2024-10-31,3,0,234
2024-10-30,1,0,273
2024-10-29,1,0,250
2024-10-28,6,0,301
2024-10-27,6,0,271
2024-10-26,1,1,182
2024-10-25,1,0,242
2024-10-24,2,0,262
2024-10-23,3,1,250
2024-10-22,2,0,315
2024-10-21,5,0,317
2024-10-20,0,1,241
2024-10-19,1,0,201
2024-10-18,1,0,246
2024-10-17,2,0,314
2024-10-16,2,0,310
2024-10-15,2,0,326
2024-10-14,2,0,321
2024-10-13,1,0,229
2024-10-12,3,0,200
2024-10-11,2,0,221
2024-10-10,2,0,245
2024-10-09,3,0,299
2024-10-08,2,0,303
2024-10-07,3,0,304
2024-10-06,2,0,254
2024-10-05,1,0,202
2024-10-04,0,0,231
2024-10-03,2,0,295
2024-10-02,2,0,286
2024-10-01,2,1,261
2024-09-30,1,1,296
2024-09-29,4,0,264
2024-09-28,2,0,226
2024-09-27,1,0,202
2024-09-26,3,0,285
2024-09-25,2,2,302
2024-09-24,2,1,251
2024-09-23,3,1,297
2024-09-22,2,0,282
2024-09-21,2,1,264
2024-09-20,1,0,246
2024-09-19,3,0,308
2024-09-18,2,0,306
2024-09-17,8,1,287
2024-09-16,1,0,269
2024-09-15,4,1,294
2024-09-14,1,0,222
2024-09-13,6,0,176
2024-09-12,3,1,250
2024-09-11,4,1,332
2024-09-10,3,0,300
2024-09-09,2,0,291
2024-09-08,2,0,238
2024-09-07,1,0,187
2024-09-06,4,1,209
2024-09-05,4,1,311
2024-09-04,1,0,273
2024-09-03,4,0,265
2024-09-02,0,0,278
2024-09-01,1,0,229
2024-08-31,3,0,177
2024-08-30,4,1,161
2024-08-29,2,0,243
2024-08-28,0,0,302
2024-08-27,4,1,322
2024-08-26,4,0,226
2024-08-25,1,0,196
2024-08-24,1,1,184
2024-08-23,4,1,221
2024-08-22,1,0,268
2024-08-21,3,0,311
2024-08-20,1,0,278
2024-08-19,3,0,245
2024-08-18,4,0,180
2024-08-17,4,0,175
2024-08-16,0,0,244
2024-08-15,5,0,222
2024-08-14,3,0,280
2024-08-13,1,0,225
2024-08-12,2,0,264
2024-08-11,3,0,228
2024-08-10,4,0,224
2024-08-09,3,0,210
2024-08-08,3,0,291
2024-08-07,2,1,260
2024-08-06,3,0,232
2024-08-05,5,0,273
2024-08-04,1,1,219
2024-08-03,3,0,189
2024-08-02,4,0,201
2024-08-01,0,0,208
2024-07-31,1,0,238
2024-07-30,4,2,291
2024-07-29,2,0,243
2024-07-28,0,0,206
2024-07-27,4,0,152
2024-07-26,0,0,195
2024-07-25,2,0,280
2024-07-24,2,0,245
2024-07-23,3,0,279
2024-07-22,6,1,267
2024-07-21,2,0,181
2024-07-20,0,0,132
2024-07-19,2,0,246
2024-07-18,3,0,274
2024-07-17,4,0,274
2024-07-16,0,0,265
2024-07-15,2,0,283
2024-07-14,3,0,207
2024-07-13,2,1,216
2024-07-12,4,0,240
2024-07-11,2,0,270
2024-07-10,4,0,270
2024-07-09,2,0,300
2024-07-08,4,0,325
2024-07-07,3,0,241
2024-07-06,2,0,226
2024-07-05,2,0,219
2024-07-04,3,0,286
2024-07-03,2,0,231
2024-07-02,6,0,280
2024-07-01,2,1,277
2024-06-30,3,0,231
2024-06-29,3,0,218
2024-06-28,2,0,214
2024-06-27,5,0,239
2024-06-26,1,0,299
2024-06-25,3,1,279
2024-06-24,4,0,281
2024-06-23,2,0,249
2024-06-22,4,0,247
2024-06-21,0,0,234
2024-06-20,3,0,281
2024-06-19,1,0,267
2024-06-18,2,0,252
2024-06-17,1,0,213
2024-06-16,2,0,175
2024-06-15,5,0,183
2024-06-14,2,0,225
2024-06-13,4,1,299
2024-06-12,2,0,286
2024-06-11,2,0,314
2024-06-10,2,0,291
2024-06-09,2,1,276
2024-06-08,1,1,273
2024-06-07,2,1,315
2024-06-06,0,0,334
2024-06-05,1,0,322
2024-06-04,4,3,325
2024-06-03,3,0,350
2024-06-02,4,0,287
2024-06-01,1,0,278
2024-05-31,3,1,265
2024-05-30,3,0,321
2024-05-29,2,0,337
2024-05-28,2,0,352
2024-05-27,2,0,287
2024-05-26,2,0,341
2024-05-25,0,0,267
2024-05-24,3,0,270
2024-05-23,2,0,341
2024-05-22,2,0,340
2024-05-21,3,0,319
2024-05-20,2,0,325
2024-05-19,1,0,286
2024-05-18,3,0,288
2024-05-17,1,0,249
2024-05-16,2,0,351
2024-05-15,1,0,386
2024-05-14,6,0,422
2024-05-13,4,2,416
2024-05-12,3,0,315
2024-05-11,0,0,288
2024-05-10,1,1,247
2024-05-09,5,0,342
2024-05-08,1,0,337
2024-05-07,5,1,329
2024-05-06,1,1,310
2024-05-05,2,0,241
2024-05-04,1,0,241
2024-05-03,4,0,259
2024-05-02,4,0,370
2024-05-01,4,0,338
2024-04-30,3,0,277
2024-04-29,2,1,325
2024-04-28,0,0,301
2024-04-27,6,0,305
2024-04-26,3,0,305
2024-04-25,2,0,304
2024-04-24,1,1,348
2024-04-23,4,1,375
2024-04-22,3,0,337
2024-04-21,1,1,297
2024-04-20,3,0,202
2024-04-19,6,0,294
2024-04-18,3,0,292
2024-04-17,2,0,353
2024-04-16,1,0,327
2024-04-15,1,0,301
2024-04-14,2,0,238
2024-04-13,2,1,200
2024-04-12,3,0,252
2024-04-11,3,0,311
2024-04-10,3,0,254
2024-04-09,0,0,290
2024-04-08,3,0,321
2024-04-07,2,0,221
2024-04-06,1,0,236
2024-04-05,0,0,273
2024-04-04,2,1,294
2024-04-03,2,0,326
2024-04-02,2,1,387
2024-04-01,2,1,353
2024-03-31,2,0,342
2024-03-30,0,0,235
2024-03-29,1,0,234
2024-03-28,5,0,324
2024-03-27,4,2,340
2024-03-26,6,0,337
2024-03-25,7,0,312
2024-03-24,0,0,241
2024-03-23,7,0,241
2024-03-22,1,0,254
2024-03-21,3,1,309
2024-03-20,5,0,385
2024-03-19,3,0,410
2024-03-18,3,0,343
2024-03-17,3,0,345
2024-03-16,2,0,251
2024-03-15,3,1,231
2024-03-14,2,0,316
2024-03-13,3,0,361
2024-03-12,1,0,362
2024-03-11,5,0,358
2024-03-10,3,2,302
2024-03-09,1,0,247
2024-03-08,2,0,220
2024-03-07,3,0,308
2024-03-06,2,0,408
2024-03-05,1,0,340
2024-03-04,3,0,377
2024-03-03,5,0,302
2024-03-02,1,0,238
2024-03-01,3,0,267
2024-02-29,1,0,306
2024-02-28,3,0,346
2024-02-27,4,2,322
2024-02-26,1,1,336
2024-02-25,2,0,335
2024-02-24,3,0,257
2024-02-23,2,0,277
2024-02-22,1,0,350
2024-02-21,4,0,334
2024-02-20,4,1,362
2024-02-19,6,0,387
2024-02-18,3,0,369
2024-02-17,2,1,286
2024-02-16,3,0,329
2024-02-15,3,1,343
2024-02-14,3,0,302
2024-02-13,4,1,336
2024-02-12,3,1,330
2024-02-11,3,0,338
2024-02-10,4,0,252
2024-02-09,1,0,248
2024-02-08,0,0,267
2024-02-07,5,0,352
2024-02-06,0,0,380
2024-02-05,4,0,313
2024-02-04,4,0,303
2024-02-03,3,0,302
2024-02-02,2,0,322
2024-02-01,5,0,428
2024-01-31,4,0,363
2024-01-30,1,0,365
2024-01-29,1,0,368
2024-01-28,5,0,319
2024-01-27,1,0,228
2024-01-26,5,0,287
2024-01-25,3,1,322
2024-01-24,2,0,338
2024-01-23,3,1,383
2024-01-22,2,1,398
2024-01-21,2,1,362
2024-01-20,2,0,260
2024-01-19,5,0,303
2024-01-18,0,0,366
2024-01-17,5,0,359
2024-01-16,5,0,387
2024-01-15,1,0,326
2024-01-14,1,1,289
2024-01-13,2,0,265
2024-01-12,2,0,281
2024-01-11,1,0,305
2024-01-10,4,0,353
2024-01-09,1,0,302
2024-01-08,3,0,341
2024-01-07,1,0,271
2024-01-06,1,0,226
2024-01-05,2,0,244
2024-01-04,0,0,336
2024-01-03,3,1,277
2024-01-02,3,1,283
2024-01-01,3,0,275
2023-12-31,1,0,184
2023-12-30,1,0,172
2023-12-29,0,0,195
2023-12-28,3,0,260
2023-12-27,2,1,213
2023-12-26,1,0,228
2023-12-25,1,0,194
2023-12-24,2,1,201
2023-12-23,1,0,172
2023-12-22,2,0,211
2023-12-21,5,1,304
2023-12-20,0,1,306
2023-12-19,3,0,275
2023-12-18,1,0,328
2023-12-17,2,1,309
2023-12-16,2,0,239
2023-12-15,3,0,290
2023-12-14,6,1,326
2023-12-13,0,0,381
2023-12-12,3,0,356
2023-12-11,2,1,373
2023-12-10,3,0,346
2023-12-09,2,0,263
2023-12-08,3,0,256
2023-12-07,2,0,320
2023-12-06,2,0,331
2023-12-05,7,1,364
2023-12-04,1,0,394
2023-12-03,2,0,345
2023-12-02,3,0,314
2023-12-01,1,0,286
2023-11-30,8,0,302
2023-11-29,4,1,393
2023-11-28,5,0,361
2023-11-27,2,0,422
2023-11-26,4,0,329
2023-11-25,5,0,278
2023-11-24,0,0,240
2023-11-23,4,0,306
2023-11-22,1,0,340
2023-11-21,2,1,393
2023-11-20,1,0,362
2023-11-19,4,1,284
2023-11-18,3,1,243
2023-11-17,6,1,288
2023-11-16,4,0,364
2023-11-15,3,1,374
2023-11-14,0,0,310
2023-11-13,1,0,339
2023-11-12,2,0,286
2023-11-11,2,0,243
2023-11-10,1,0,267
2023-11-09,4,0,345
2023-11-08,3,0,377
2023-11-07,1,0,374
2023-11-06,1,2,412
2023-11-05,2,1,320
2023-11-04,2,0,261
2023-11-03,5,0,259
2023-11-02,5,0,368
2023-11-01,2,0,343
2023-10-31,4,0,357
2023-10-30,3,0,358
2023-10-29,3,0,311
2023-10-28,1,0,228
2023-10-27,2,1,282
2023-10-26,7,2,323
