day,insightTrafficSourceType,views,estimatedMinutesWatched
2019-09-27,NO_LINK_OTHER,0,0
2019-09-27,YT_SEARCH,2,1
2019-09-27,EXT_URL,1,2
2019-09-28,NO_LINK_OTHER,6,4
2019-09-28,YT_CHANNEL,4,8
2019-09-28,YT_SEARCH,3,3
2019-09-28,RELATED_VIDEO,1,2
2019-09-28,EXT_URL,7,12
2019-09-29,NO_LINK_OTHER,3,3
2019-09-29,YT_CHANNEL,6,13
2019-09-29,YT_SEARCH,4,9
2019-09-29,YT_OTHER_PAGE,1,1
2019-09-30,NO_LINK_OTHER,0,0
2019-09-30,SUBSCRIBER,1,1
2019-09-30,YT_CHANNEL,2,5
2019-09-30,YT_SEARCH,1,2
2019-09-30,RELATED_VIDEO,1,4
2019-10-01,NO_LINK_OTHER,2,3
2019-10-01,RELATED_VIDEO,2,2
2019-10-01,EXT_URL,4,6
2019-10-02,NO_LINK_OTHER,5,3
2019-10-02,YT_CHANNEL,1,1
2019-10-02,RELATED_VIDEO,1,0
2019-10-02,EXT_URL,1,0
2019-10-03,NO_LINK_OTHER,0,0
2019-10-03,YT_SEARCH,1,0
2019-10-05,YT_SEARCH,1,2
2019-10-06,NO_LINK_OTHER,1,0
2019-10-06,YT_SEARCH,1,0
2019-10-09,RELATED_VIDEO,2,0
2019-10-11,YT_SEARCH,1,0
2019-10-15,NO_LINK_OTHER,0,0
2019-10-15,YT_SEARCH,3,3
2019-10-15,YT_OTHER_PAGE,1,0
2019-10-16,YT_SEARCH,2,0
2019-10-17,RELATED_VIDEO,1,2
2019-10-18,YT_SEARCH,1,2
2019-10-19,NO_LINK_OTHER,9,8
2019-10-19,YT_SEARCH,1,0
2019-10-20,YT_SEARCH,1,2
2019-10-21,YT_SEARCH,1,0
2019-10-25,YT_SEARCH,3,6
2019-10-27,NO_LINK_OTHER,0,0
2019-10-27,YT_SEARCH,1,1
2019-10-27,EXT_URL,6,8
2019-10-31,NO_LINK_OTHER,1,0
2019-10-31,YT_SEARCH,1,0
2019-11-01,YT_SEARCH,1,0
2019-11-03,YT_SEARCH,1,2
2019-11-03,RELATED_VIDEO,1,1
2019-11-04,YT_SEARCH,2,2
2019-11-05,YT_SEARCH,1,2
2019-11-11,YT_SEARCH,2,4
2019-11-11,YT_OTHER_PAGE,1,0
2019-11-15,YT_SEARCH,1,3
2019-11-15,RELATED_VIDEO,1,0
2019-11-16,YT_SEARCH,1,0
2019-11-20,YT_SEARCH,1,3
2019-11-22,YT_OTHER_PAGE,1,0
2019-11-24,YT_SEARCH,1,1
2019-11-24,YT_OTHER_PAGE,1,1
2019-11-25,YT_SEARCH,1,2
2019-11-26,YT_SEARCH,1,1
2019-11-27,YT_SEARCH,2,2
2019-11-29,NO_LINK_OTHER,0,0
2019-11-29,YT_SEARCH,4,6
2019-12-01,YT_OTHER_PAGE,2,4
2019-12-02,NO_LINK_OTHER,0,0
2019-12-02,YT_OTHER_PAGE,3,10
2019-12-04,RELATED_VIDEO,3,0
2019-12-07,YT_SEARCH,1,0
2019-12-10,YT_SEARCH,1,0
2019-12-10,YT_OTHER_PAGE,1,0
2019-12-15,YT_SEARCH,2,1
2019-12-18,YT_SEARCH,2,6
2019-12-29,YT_SEARCH,1,2
2020-01-10,NO_LINK_OTHER,2,7
2020-01-11,NO_LINK_OTHER,0,0
2020-01-11,YT_SEARCH,2,0
2020-01-11,RELATED_VIDEO,2,8
2020-01-11,YT_OTHER_PAGE,2,4
2020-01-12,YT_SEARCH,1,3
2020-01-12,RELATED_VIDEO,1,4
2020-01-12,YT_OTHER_PAGE,1,0
2020-01-14,YT_SEARCH,1,0
2020-01-19,YT_SEARCH,2,4
